,,,,,,,E',,,,,,,,,,,,,
,f,T,E',E'',tan del,,T(°C),25,35,45,56,66,77,87,97,108,118,129,139,150
,0.31008,108.4,180.793,52.7091,0.291544,,,,,,,,,,,,,,,
,0.54601,108.3,210.024,54.7882,0.260867,,,,,,,,,,,,,,,
,0.96147,108.3,235.004,55.7437,0.237203,,,,,,,,,,,,,,,
,1.69305,108.2,257.695,55.8327,0.216662,,,,,,,,,,,,,,,
,2.98129,108.3,277.594,55.2922,0.199184,,,,,,,,,,,,,,,
,5.24974,108.3,296.852,54.3297,0.18302,,,,,,,,,,,,,,,
,9.24425,108.4,313.359,52.7176,0.168234,,,,,,,,,,,,,,,
,16.2782,108.2,330.043,51.2939,0.155416,,,,,,,,,,,,,,,
,28.6642,108.4,342.569,50.534,0.147515,,,,,,,,,,,,,,,
,50,108.4,350.586,47.197,0.134623,,,,,,,,,,,,,,,
,0.1,118.8,59.0295,23.2095,0.393185,,,,,,,,,,,,,,,
,0.17609,118.9,76.2148,27.2722,0.357834,,,,,,,,,,,,,,,
,0.31008,118.8,93.6386,32.2829,0.34476,,,,,,,,,,,,,,,
,0.54601,118.8,110.966,36.4056,0.32808,,,,,,,,,,,,,,,
,0.96147,118.7,127.75,39.8213,0.311713,,,,,,,,,,,,,,,
,1.69305,118.8,144.047,42.2663,0.29342,,,,,,,,,,,,,,,
,2.98129,118.8,160.917,44.3807,0.275799,,,,,,,,,,,,,,,
,5.24974,118.8,178.151,45.5345,0.255595,,,,,,,,,,,,,,,
,9.24425,118.7,195.529,46.966,0.2402,,,,,,,,,,,,,,,
,16.2782,118.8,212.019,47.2586,0.222898,,,,,,,,,,,,,,,
,28.6642,118.9,228.156,47.7882,0.209454,,,,,,,,,,,,,,,
,50,118.9,240.19,46.8614,0.195101,,,,,,,,,,,,,,,
,0.1,129.3,29.2329,9.83479,0.336428,,,,,,,,,,,,,,,
,0.17609,129.7,36.3562,12.1893,0.335274,,,,,,,,,,,,,,,
,0.31008,129.2,43.6367,15.1428,0.347019,,,,,,,,,,,,,,,
